model_name,event_id,target_date,row,col,label,model_score,shap_pdsi,shap_forecast_wind_speed,shap_forecast_wind_direction,shap_forecast_wind_alignment,shap_forecast_temperature,shap_forecast_specific_humidity,shap_forecast_total_precipitation,shap_minimum_temperature,shap_maximum_temperature,shap_specific_humidity,shap_energy_release_component,shap_total_precipitation,shap_wind_speed,shap_wind_direction,shap_slope_alignment,shap_slope,shap_aspect,shap_elevation,shap_ndvi,shap_evi2,shap_landcover_class,top_extra_feature,top_extra_shap,extra_feature_shap_sum,extra_feature_abs_shap_sum
stage2_gbm_r2km_fair_fold0_to_fold1,fire_23159647,2019-08-22,121,136,1,0.9717696552496544,0.5578633887418083,0.2649329425476683,0.1410221187812379,0.0867394197780055,0.2208223674148095,0.026631016117821,-0.066577413542451,0.0867039892185066,0.0589339313822592,0.77840092219723,0.0726688076872201,0.006528327651514,0.1331007597778087,0.2030108103274401,0.0999181909895998,0.0271277203124765,-0.0087633719234476,0.6567493137103205,0.1030357393401815,0.0389950507807257,0.2274998801674188,specific_humidity,0.77840092219723,3.7153439114581523,3.86602548238995
stage2_gbm_r2km_fair_fold0_to_fold1,fire_23159647,2019-08-22,119,137,1,0.9698298224514164,0.5385605130405322,0.3423060116686966,0.1339734105317503,0.0746286883964805,0.2144854198359382,0.0060999028467819,-0.0663248392878731,0.0919352326839807,0.0713424804435903,0.7771513401175502,0.0745750871342229,0.0033360677591696,0.1311549938515279,0.177887599090053,0.088463926825972,0.032902129040483,0.0030845028882297,0.7112402353503573,0.1133474791325815,0.0276293682771154,0.2046547550629648,specific_humidity,0.7771513401175502,3.7524343046901047,3.8850839832658512
stage2_gbm_r2km_fair_fold0_to_fold1,fire_23037424,2019-07-27,129,112,1,0.9691495857919076,0.5215341828070522,0.3061996880728123,0.1223614369516969,0.0070269218789722,0.5068215084198661,0.1509899484549065,0.0215513354259054,0.2055181552197493,0.2483556267034103,0.2384957508696828,0.0631691194874952,0.0039495624375456,0.0704102932182414,0.0761875577867825,0.0393554894816335,0.1493060009567745,0.0215773251819234,0.3774761555591114,0.12432190998051,-0.0187089740046547,0.0103597867899816,pdsi,0.5215341828070522,3.246258781679398,3.283676729688708
stage2_gbm_r2km_fair_fold0_to_fold1,fire_23159647,2019-08-22,123,135,1,0.9677802224844854,0.5392655881145411,0.3486392027609344,0.1151602752272347,0.1005513313252036,0.2513410206973151,0.0020969897328826,-0.0460472909733443,0.084481354414671,0.0758220300904867,0.674835330793586,0.0602460757012301,0.006220810563808,0.1526682635463337,0.1689950353034798,0.064762598508388,0.0445565497293786,-0.0066859721720546,0.7357020673934026,0.1360781977722833,0.0083914979892121,0.2111349909622634,elevation,0.7357020673934026,3.728215947481236,3.8336824737720336
stage2_gbm_r2km_fair_fold0_to_fold1,fire_23159647,2019-08-22,122,136,1,0.9674363685184691,0.5294379195267428,0.237366967981104,0.1253622690341349,0.1246879868626781,0.2276659196782988,0.0239681159865973,-0.0694052555185756,0.0610687821144485,0.0738387371153552,0.7103923325507483,0.0801691301282577,0.0008709019086075,0.1401855455038257,0.2003367726292429,0.0284847110299866,0.0286872387300503,0.0208890148228958,0.6129935749444858,0.0684265587495675,0.0688466827153318,0.2318743197943499,specific_humidity,0.7103923325507483,3.5261482262881336,3.664958737325285
stage2_gbm_r2km_fair_fold1_to_fold0,fire_23159637,2019-08-17,131,126,1,0.9877166652544246,0.4553810065518989,-0.3557037726918802,0.1819686704054465,0.6191976839483833,0.1959118908157938,0.0467427409472747,0.1406292136391572,0.3704063560885835,0.1001085024657608,0.2267102167502771,0.1895823211858149,0.0044638914094273,-0.4610043787603992,0.1775511582491356,0.1229632899997037,0.0914738025359551,0.1348080469729558,0.2459318304128996,0.2962168038388931,0.0551711804322804,0.0256956228480395,forecast_wind_alignment,0.6191976839483833,2.8642060780454015,4.497622380949959
stage2_gbm_r2km_fair_fold1_to_fold0,fire_23159637,2019-08-17,128,124,1,0.9862098310323584,0.4409365368402877,-0.4125795823520627,0.193364142173478,0.5640918641562963,0.2163962775431076,0.0589213574339292,0.1648971457047336,0.36028353570742,0.1148146363921539,0.2562753971435837,0.1908759117075111,0.0057009278711247,-0.3994596370770993,0.1059485028889027,0.0742265981632642,0.054003274213154,0.2526654679113764,0.4355286446897901,0.2609930791399527,0.0624169271891889,0.0223790436127987,forecast_wind_alignment,0.5640918641562963,3.0226800510528915,4.646758489911217
stage2_gbm_r2km_fair_fold1_to_fold0,fire_23159637,2019-08-17,128,122,1,0.9860062728996608,0.5015407840755819,-0.3516861070601971,0.1924782191663354,0.4980264351977928,0.1788307755224158,0.0623981551154631,0.1503509064251575,0.4271930819582924,0.0805798982296122,0.2895515917774892,0.1967830322204899,0.0118371546107764,-0.5025288278856171,0.1885721668639805,0.0372529833257694,0.0950661105539536,0.1344877149701777,0.5607457933520251,0.199956020079601,0.3076729573133372,0.0379673223494693,elevation,0.5607457933520251,3.297076168161906,5.005506038053534
stage2_gbm_r2km_fair_fold1_to_fold0,fire_23159637,2019-08-17,127,123,1,0.9848669565839078,0.4486909817432186,-0.3631833130179487,0.1716272657848139,0.5326085519446577,0.1915318686418196,0.1017831272659733,0.1359990637385061,0.3128799497606218,0.0715488835991651,0.3016047966576868,0.1857845565600862,0.0111703606968871,-0.4640059893527556,0.1070768115470882,0.089390096156725,0.1424143963739812,0.1763960579644246,0.4158481396382022,0.3541433241421642,0.1186879546899825,0.0376548642731192,forecast_wind_alignment,0.5326085519446577,3.079651748808419,4.734030353549829
stage2_gbm_r2km_fair_fold1_to_fold0,fire_23159637,2019-08-17,127,122,1,0.9846168781917374,0.4677884087791766,-0.3412547132016135,0.1852824183832524,0.533307199004006,0.1952278930207046,0.1087363115432358,0.13559916852397,0.4359820432053108,0.0588348130815062,0.2937883841401159,0.205431893052524,0.0111419606835956,-0.5274295116523618,0.0992310623332701,0.0784950938482082,0.1138123255430265,0.19104197140992,0.4736989257308453,0.3405865947099071,0.1998453888982186,0.0395313489191934,forecast_wind_alignment,0.533307199004006,3.2986789799560112,5.036047429663962
